id,nombre,email,departamento,salario,activo
58,Gabriela Torres,gabriela.torres,RRHH,25628.97,0
59,Bob,bob.,  ,63695.64,1
60,Eva Hernández,eva.hernández@corp.net,Ventas,79386.09,0
61,Torres,.torres@empresa.com,,29295.65,
62,Torres,.torres@corp.net,Ventas,31393.2,no
63,,.,Ventas,28175.52,f
64,Ana,ana.@empresa.com,  ,48303.36,false
65,Bob,,Marketing,60283.88,t
66,,.@corp.net,  ,79606.57,t
67,Diana García,diana.garcía,Marketing,54256.35,no
68,Eva Torres,eva.torres@empresa.com,TI,67132.94,true
69,Ana,ana.@empresa.com,Ventas,37888.66,no
70,Carlos Martínez,carlos.martínez,,42636.58,1
71,Torres,.torres,TI,65436.67,yes
72,García,.garcía,,47454.25,1
73,Torres,.torres,,75310.76, 
74,Ruiz,.ruiz,Ventas,49738.28,0
75,Diana García,diana.garcía@empresa.com,,,
76,Torres,.torres,RRHH,N/A,false
77,Diana Torres,diana.torres@corp.net,,50643.78,0
78,,,  ,75288.18,0,extra
79,Diana Ruiz,,,47966.79,yes
80,Diana,diana.,RRHH,64795.69,f
81,Fernando Ruiz,fernando.ruiz,Ventas,60299.52,true
82,Bob García,bob.garcía,Ventas,63894.33,true
83,Ana,ana.@empresa.com,TI,25919.94,1
84,,.@corp.net,TI,38253.29,
85,Eva,,Marketing,63348.0,1
86,Ana López,ana.lópez,,63656.48,false
87,Fernando López,fernando.lópez@empresa.com,Ventas,73815.49,f
88,Eva García,eva.garcía,TI,66374.0,t
89,Diana,diana.,Marketing,79366.29,false
90,Ana López,ana.lópez@empresa.com,RRHH,57758.48
91,Eva,eva.,,62383.22,t
92,Diana López,,Ventas,33485.23,t
93,Ana Martínez,ana.martínez,TI,49686.4, 
94,Bob Hernández,bob.hernández,,46328.98,false
95,Diana Ruiz,diana.ruiz@corp.net,Ventas,33026.42,yes
96,López,.lópez@corp.net,  ,35755.15,false,extra
97,Gabriela Hernández,gabriela.hernández,,48683.89,
98,Diana,diana.,RRHH,52005.4,
99,Eva,eva.@corp.net,,67218.98,true
100,Diana,diana.@empresa.com,,62013.77,yes
101,Carlos,carlos.@empresa.com,Marketing,47044.28, 
102,Gabriela García,gabriela.garcía,  ,60099.92,false
103,Fernando Ruiz,fernando.ruiz@empresa.com,,46978.98,0
104,Ana López,ana.lópez@corp.net,Marketing,62375.55, 
105,López,.lópez@empresa.com,TI,44158.08,0
106,Hernández,.hernández,  ,41514.52
107,Fernando López,fernando.lópez@corp.net,  ,33807.46, 
108,Gabriela Ruiz,gabriela.ruiz,Marketing,,
109,Gabriela,,Ventas,69480.14,false
110,Ruiz,.ruiz@corp.net,Marketing,51921.62,0
111,Bob Hernández,bob.hernández,,69033.74,
112,Fernando López,fernando.lópez@empresa.com,Ventas,46365.48,
113,Carlos,carlos.@corp.net,,35290.42,f
114,Ana,ana.,,62658.32,t
115,Carlos López,carlos.lópez@corp.net,RRHH,,no
116,,.@empresa.com,,70280.55,0
117,Torres,.torres@empresa.com,  ,41373.99,true
118,Bob,bob.@empresa.com,,65568.71,0
119,Gabriela Ruiz,gabriela.ruiz@corp.net,,44294.85,1
120,Eva Martínez,eva.martínez@empresa.com,Ventas,75532.28,1
121,Carlos Torres,carlos.torres,,46598.54,yes
122,Gabriela,gabriela.@empresa.com,Marketing,76498.49,0
123,Ana López,ana.lópez,  ,28483.19, 
124,Diana,diana.,RRHH,71883.24,0
125,Ana López,ana.lópez,TI,49270.73,true
126,Carlos Martínez,carlos.martínez,TI,45451.41,yes
127,Diana,diana.@empresa.com,TI,57652.37, ,extra
128,Fernando López,fernando.lópez,  ,46068.85,false
129,Eva Ruiz,eva.ruiz@corp.net,  ,54177.96,true
130,Fernando Torres,fernando.torres@corp.net,Marketing,36948.46,false
131,Gabriela Hernández,gabriela.hernández,,29633.68, 
132,Eva García,eva.garcía,Ventas,66131.4,1
133,Diana,diana.@corp.net,Marketing,73879.85,true
134,Carlos,carlos.,RRHH,50905.8
135,Bob García,bob.garcía@empresa.com,TI,40756.83, 
136,Gabriela López,gabriela.lópez@corp.net,RRHH,,false
137,Carlos Hernández,carlos.hernández@empresa.com,RRHH,71555.75,true
138,Bob,bob.@empresa.com,RRHH,34660.52,true
139,Carlos,carlos.,Ventas,73040.3,false,extra
140,Gabriela Martínez,gabriela.martínez,  ,52288.12, 
141,Carlos Hernández,carlos.hernández@empresa.com,,65742.9
142,Ana Torres,,RRHH,76213.8,true
143,Gabriela Torres,gabriela.torres,  ,56434.48,false
144,Carlos Torres,carlos.torres@empresa.com,Marketing,,f
145,Eva Hernández,,Marketing,,no
146,Diana,diana.,,55060.76,no
147,Ana Torres,ana.torres@empresa.com,RRHH,,t
148,Bob Torres,bob.torres@corp.net,Marketing,79832.76,1
149,,.,Marketing,30256.74,yes
150,Ana,ana.@corp.net,Ventas,75932.31,t
151,Fernando,fernando.@empresa.com,Ventas,30993.51,false
152,Gabriela López,gabriela.lópez@corp.net,Marketing,31595.25,yes
153,Ana Torres,ana.torres,Ventas,,no
154,Ana Martínez,ana.martínez@corp.net,TI,55577.46, 
155,Carlos López,,,35897.32,t
